ingredient to gram,cup(s),tbsp,tsp,oz,lb,calories/100g
flour,125,7.8125,2.604166667,28,454,364
whole wheat flour,120,7.5,2.5,28,454,340
sugar,250,15.625,5.208333333,28,454,406
brown sugar,220,13.75,4.583333333,28,454,380
caster sugar,200,12.5,4.166666667,28,454,406
powder sugar,125,7.8125,2.604166667,28,454,389
cornstarch,150,9.375,3.125,28,454,381
cinnamon,132,8.25,2.75,28,454,247
nutmeg,118,7.375,2.458333333,28,454,525
butter,226,14.125,4.708333333,28,454,717
vegetable oil,225,14.0625,4.6875,28,454,884
yeast,148.8,9.3,3.1,28,454,105
salt,273.12,17.07,5.69,28,454,0
vanilla,208,13,4.333333333,28,454,288
cream cheese,181,11.3125,3.770833333,28,454,342
cream,240,15,5,28,454,196
water,240,15,5,28,454,0
baking soda,180,11.25,3.75,28,454,0
baking powder,180,11.25,3.75,28,454,53
honey,340,21.25,7.083333333,28,454,304
cocoa powder,125,7.8125,2.604166667,28,454,228
buttermilk,240,15,5,28,454,42
evaporated milk,252,15.75,5.25,28,454,134
sweetened condensed milk,306,19.125,6.375,28,454,321
almond extract,218.88,13.68,4.56,28,454,48
cloves,105.6,6.6,2.2,28,454,323
allspice,97.44,6.09,2.03,28,454,263
ginger,134.88,8.43,2.81,28,454,80
cream of tartar,162,10.125,3.375,28,454,258
espresso powder,96,6,2,28,454,2
peanuts,142,8.875,2.958333333,28,454,567
chocolate,175,10.9375,3.645833333,28,454,540
chocolate chips,175,10.9375,3.645833333,28,454,540
chocolate grated,125,7.8125,2.604166667,28,454,540
peanut butter,270,16.875,5.625,28,454,588
pumpkin puree,227,14.1875,4.729166667,28,454,34
apple,113,7.0625,2.354166667,28,454,52
strawberry,167,10.4375,3.479166667,28,454,33
gelatin,147.84,9.24,3.08,28,454,62
oil,225,14.0625,4.6875,28,454,884
banana,150,9.375,3.125,28,454,89
egg,70,70,70,70,70,155
eggs,70,70,70,70,70,155